Name,Sector,Expert_S,P_S,A_S,D_C_S,L_S,Q4_R,Q3_R,Q2_R,Q1_R,Q4_PBT,Q3_PBT,Q2_PBT,Q1_PBT,Q4_NP,Q3_NP,Q2_NP,Q1_NP,Y_R,Y_NP,NTA,Goodwill,Cash,Debt,TD,NA,CR,QR,Cash_Ratio,ROA,DTA,ATR,YNPM,Q1_NPM,Q2_NPM,Q3_NPM,Q4_NPM,CTR
klse: FoundPac Group Bhd,Semiconductor,4.3,3,1.61,5.14,7.36,12440,12415,11143,14532,4139,4758,4018,6619,3074,4215,3120,4646,50530,15846,0.18,12650,51140,219,7950,96010,12.67,11.96,9.28,0.165045308,0.082803875,0.526299344,31.35958836,31.97082301,27.99964103,33.95086589,24.71061093,0.988071959
klse: Gas Malaysia Bhd,Utilities,4.1,4.5,2.16,5.54,4.36,1722101,1539640,1606205,1678270,69808,59226,67364,68245,50906,44624,47863,57928,6546216,201321,0.81,0,166260,287760,1460000,1010000,0.89,0.89,0.24,0.199327723,1.445544554,6.48140198,3.075379731,3.451649615,2.979881148,2.898339872,2.956040325,39.37336702
klse: Petronas Dagangan Bhd,Wholesale Distributors,4.4,2.8,1.84,5.68,7.27,4830478,2931750,6553910,7794209,288290,1166,-18428,190568,212661,3510,-29423,126588,22110347,313932,6.02,0,2400000,239640,2520000,5510000,1.58,1.37,0.94,0.056974955,0.457350272,4.012767151,1.419842031,1.624128889,-0.448938115,0.119723715,4.402483564,9.212644583
klse: KPS Consortium Bhd,Paper,4.1,3.5,7.24,3.22,2.35,191977,96048,231491,239144,2548,-1588,853,-1308,1947,-1631,409,-197,758660,492,1.83,43150,29490,142370,207820,269860,1.56,1.16,0.21,0.001823168,0.770103016,2.811309568,0.064851185,-0.082377145,0.176680735,-1.698109279,1.014183991,25.72600882
klse: JcbNext Bhd,Industrial Products,4.7,3.7,7,5.71,2.53,882,2937,1402,1419,1396,3369,1784,890,1276,2040,1766,685,6640,5696,2.4,0,135260,144,1890,323130,83.38,83.38,82.75,0.01762758,0.005849039,0.020549005,85.78313253,48.27343199,125.9629101,69.45863126,144.6712018,0.04909064
klse: Warisan TC Holdings Bhd,Financial Services,3.2,2.4,6.31,2.9,1.39,82609,54375,74943,111273,-10197,-18348,-11869,-2144,-9067,-17797,-11229,-1400,323200,-40392,4.97,12470,124180,238740,428970,295650,0.97,0.59,0.21,-0.136621005,1.45093861,1.093184509,-12.49752475,-1.258166851,-14.98338737,-32.73011494,-10.97580167,2.602673538
klse: Mi Technovation Bhd,Industrial Machinery,4.1,2.7,1.31,4.54,8.02,64276,61916,35243,68215,12312,18384,10335,17711,12323,18182,10298,17505,229650,58008,0.51,43870,135390,7010,65440,386240,6.52,5.5,3.4,0.150186413,0.169428335,0.5945785,25.25930764,25.6615114,29.21998695,29.36559209,19.17200821,1.696210946
klse: MAA Group Bhd,Insurance,5.4,3,6.64,7.63,4.46,59775,50161,54332,54139,26180,29160,-28564,-27479,22760,23171,-30497,-26258,218407,-10647,1.79,27790,508800,135090,9860,281970,1.33,0,0,-0.037759336,0.034968259,0.774575309,-4.874843755,-48.50108055,-56.1308253,46.19325771,38.07611878,0.429259041
klse: Greenyield Bhd,Chemicals,4.3,3.3,4.4,4.27,5.4,8854,4074,8086,4433,1543,3716,-48,-386,1405,2837,-89,-200,25447,3953,0.16,0,7890,14980,21620,60660,3.02,1.97,1.19,0.065166502,0.356412793,0.419502143,15.53424765,-4.511617415,-1.100667821,69.63672067,15.868534,3.2252218
klse: Serba Dinamik Holdings Bhd,Engineering,6.1,6.3,5.22,5.05,8,1481880,1437878,1278669,1360549,164839,166486,147685,139118,147996,147880,133720,140883,5558976,570232,0.79,118430,1420000,3750000,4460000,3080000,4.28,3.29,1.47,0.18514026,1.448051948,1.804862338,10.25786044,10.3548641,10.45774943,10.28459995,9.987043485,3.914771831
