Name,Sector,Expert_S,P_S,A_S,D_C_S,L_S,Q4_R,Q3_R,Q2_R,Q1_R,Q4_PBT,Q3_PBT,Q2_PBT,Q1_PBT,Q4_NP,Q3_NP,Q2_NP,Q1_NP,Y_R,Y_NP,NTA,Goodwill,Cash,Debt,TD,NA,CR,QR,Cash_Ratio,ROA,DTA,ATR
klse: SCGM Bhd,Crude Oil,4.6,4.2,2.39,4.55,7.35,61011,57223,49662,51636,10740,8674,5869,3638,9610,8266,6863,4181,219532,28920,0.88,0,14080,90230,124670,175520,1.38,0.79,0.07,0.164767548,0.710289426,1.250752051
klse: Malaysian Bulk Carriers Bhd,Marine Shipping,2.6,1.9,1.72,1.14,5.65,42658,39063,52272,58011,-5914,-12791,47802,12041,-5950,-12704,47653,11678,192004,40677,0.35,0,62680,445600,485970,352620,1.27,1.2,0.5,0.115356474,1.378169134,0.544506835
klse: Genting Bhd,Gambling,7.8,6.2,8.79,6.42,9.73,3298829,1107938,4109218,5303023,60044,-1660160,-218205,1119541,-130746,-786054,-132318,528822,13819008,-1294185,9.18,40550,31040000,37950000,47020000,33220000,3.84,3.77,3.49,-0.038958007,1.415412402,0.415984588
klse: Solid Automotive Bhd,Wholesale Distributors,5,3.8,5.9,3.96,6.21,76281,73622,44103,63493,2412,2687,-7935,691,2111,2590,-8666,500,257499,-3452,0.36,2300,23290,51740,96640,145070,2.2,1.06,0.22,-0.023795409,0.666161164,1.774998277
klse: Ideal United Bintang International Bhd,Wholesale Distributors,4.2,5.6,4.65,4.71,1.74,53146,39633,61467,129668,-21676,-30748,-24651,17031,-21759,-31009,-25835,11826,283914,-68688,1.19,161720,43330,130570,460700,553680,2.02,1.17,0.15,-0.124057217,0.832069065,0.512776333
klse: Binasat Communications Bhd,Construction,4.7,3.6,4.85,4.67,5.63,13040,11407,10210,12240,1797,686,230,1743,1225,369,135,1304,46897,3372,0.3,0,40550,20560,28220,78860,7.37,7.37,4.72,0.04275932,0.357849353,0.594686787
klse: Negri Sembilan Oil Palms Bhd,Agricultural Commodities,4.6,2.4,7.56,6.04,2.3,17178,16139,13441,11551,2176,4337,-497,-1927,1401,3273,-997,-717,58309,3000,7.77,0,141380,0,80070,541990,17.44,16.99,16.22,0.005535157,0.147733353,0.107583166
klse: Mesiniaga Bhd,Information Technology Services,3.5,1.8,4.14,4.47,3.72,51452,41834,45899,212396,-4188,-2810,1894,13852,-4314,-2922,1789,11356,351581,6170,1.89,840,26270,3860,57710,112970,1.46,1.4,0.92,0.05461627,0.510843587,3.112162521
klse: CCK Consolidated Holdings Bhd,Agricultural Commodities,5.4,5.9,4.63,5.07,5.9,165189,153865,160963,173332,11596,9654,10492,12799,9234,7558,8083,9662,653349,34578,0.44,380,47310,61010,118640,287280,1.79,1.03,0.47,0.120363409,0.412976887,2.274258563
klse: Hock Seng Lee Bhd,Engineering,5.7,5.7,6.72,6.55,3.91,161156,83052,112396,187634,13031,5402,10126,13702,10866,3953,7553,10124,544238,32570,1.49,0,253290,52810,294260,829460,2.77,2.1,0.7,0.039266511,0.354760929,0.656135317
